Model,First flight,Seats,Sector,Fuel burn,Fuel per seat
Airbus A320,1987,150,"2,151 nmi (3,984 km)",2.91 kg/km (10.3 lb/mi),2.43 L/100 km (97 mpg‑US)[83]
Airbus A321LR,2016,154,"3,400 nmi (6,300 km)",2.99 kg/km (10.6 lb/mi),2.43 L/100 km (97 mpg‑US)[84]
Airbus A330-200,1997,241,"3,000 nmi (5,600 km)",6 kg/km (21 lb/mi),3.11 L/100 km (76 mpg‑US)[85]
Airbus A330-300,1992,262,"3,000 nmi (5,600 km)",6.25 kg/km (22.2 lb/mi),2.98 L/100 km (79 mpg‑US)[85]
Airbus A330-900,2016,310,"3,350 nmi (6,200 km)",6 kg/km (21 lb/mi),2.42 L/100 km (97 mpg‑US)[86]
Airbus A340-300,1992,262,"3,000 nmi (5,600 km)",6.81 kg/km (24.2 lb/mi),3.25 L/100 km (72 mpg‑US)[85]
Boeing 737 MAX-8,2017,168,"3,400 nmi (6,300 km)",2.86 kg/km (10.1 lb/mi),2.13 L/100 km (110 mpg‑US)[87]
Boeing 737 MAX-9,2017,144,"3,400 nmi (6,300 km)",2.91 kg/km (10.3 lb/mi),2.53 L/100 km (93 mpg‑US)[84]
Boeing 747-400,1988,416,"2,151 nmi (3,984 km)",10.77 kg/km (38.2 lb/mi),3.24 L/100 km (73 mpg‑US)[83]
Boeing 747-8,2011,467,"3,000 nmi (5,600 km)",9.9 kg/km (35 lb/mi),2.65 L/100 km (89 mpg‑US)[88]
Boeing 757-200W,1981,158,"3,400 nmi (6,300 km)",3.79 kg/km (13.4 lb/mi),3.00 L/100 km (78 mpg‑US)[84]
Boeing 767-200ER,1984,181,"3,000 nmi (5,600 km)",4.83 kg/km (17.1 lb/mi),3.34 L/100 km (70 mpg‑US)[89]
Boeing 767-300ER,1988,218,"2,151 nmi (3,984 km)",5.38 kg/km (19.1 lb/mi),3.09 L/100 km (76 mpg‑US)[83]
Boeing 767-400ER,1999,245,"3,000 nmi (5,600 km)",5.78 kg/km (20.5 lb/mi),2.95 L/100 km (80 mpg‑US)[89]
Boeing 777-200,1994,305,"3,000 nmi (5,600 km)",6.83 kg/km (24.2 lb/mi),2.80 L/100 km (84 mpg‑US)[90]
Boeing 777-200ER,1996,301,"3,000 nmi (5,600 km)",6.96 kg/km (24.7 lb/mi),2.89 L/100 km (81 mpg‑US)[85]
Boeing 777-300,1997,368,"3,000 nmi (5,600 km)",7.88 kg/km (28.0 lb/mi),2.68 L/100 km (88 mpg‑US)[90]
Boeing 787-8,2009,291,"3,400 nmi (6,300 km)",5.26 kg/km (18.7 lb/mi),2.26 L/100 km (104 mpg‑US)[87]
Boeing 787-9,2013,304,"3,350 nmi (6,200 km)",5.77 kg/km (20.5 lb/mi),2.37 L/100 km (99 mpg‑US)[86]
Irkut MC-21-300,2017,163,"1,750 nmi (3,240 km)",3.04 kg/km (10.8 lb/mi),2.33 L/100 km (101 mpg‑US)[91]
Airbus A330-800,2017,248,"4,650 nmi (8,610 km)",5.45 kg/km (19.3 lb/mi),2.75 L/100 km (86 mpg‑US)[94]
Airbus A350-900,2013,315,"4,972 nmi (9,208 km)",6.03 kg/km (21.4 lb/mi),2.39 L/100 km (98 mpg‑US)[86]
Airbus A350-1000,2016,327,"5,531 nmi (10,243 km)",7.46 kg/km (26.5 lb/mi),2.85 L/100 km (83 mpg‑US)[93]
Airbus A380,2005,525,"7,200 nmi (13,300 km)",13.78 kg/km (48.9 lb/mi),3.27 L/100 km (72 mpg‑US)[96]
Boeing 777-200LR,2005,291,"4,972 nmi (9,208 km)",7.57 kg/km (26.9 lb/mi),3.25 L/100 km (72 mpg‑US)[86]
Boeing 777-300ER,2003,382,"5,507 nmi (10,199 km)",8.86 kg/km (31.4 lb/mi),2.9 L/100 km (81 mpg‑US)[93]
Boeing 777-9X,2020,395,"7,200 nmi (13,300 km)",7.69 kg/km (27.3 lb/mi),2.42 L/100 km (97 mpg‑US)[96]
Boeing 787-8 GEnx,2011,220,"5,537 nmi (10,255 km)",5.3 kg/km (19 lb/mi),3.01 L/100 km (78 mpg‑US)[93]
Boeing 787-8 Trent,2011,220,"5,537 nmi (10,255 km)",5.51 kg/km (19.5 lb/mi),3.13 L/100 km (75 mpg‑US)[93]
Boeing 787-9 GEnx,2013,294,"4,650 nmi (8,610 km)",5.85 kg/km (20.8 lb/mi),2.49 L/100 km (94 mpg‑US)[94]
Boeing 787-10 GEnx,2017,337,"5,529 nmi (10,240 km)",6.12 kg/km (21.7 lb/mi),2.27 L/100 km (104 mpg‑US)[93]
Boeing 787-10 Trent,2017,337,"5,529 nmi (10,240 km)",6.24 kg/km (22.1 lb/mi),2.31 L/100 km (102 mpg‑US)[93]